Happiness,Productivity
5.468729062,274.3812377
5.18937334,248.9599819
8.603391548,641.5273398
7.10043291,446.7905506
1.724028071,39.4606238
7.858753686,541.1022439
2.187252882,56.59129999
1.459318403,31.74118438
6.195238228,345.6011388
5.336706701,260.5369525
7.624751102,511.0886286
3.98233434,153.540418
2.373950265,63.43665944
1.607013811,35.29400401
8.457926632,620.6894863
5.928746508,317.3124923
6.317059478,358.1172312
8.32870154,603.4633106
3.314450108,111.2458131
6.619581032,390.1716204
5.702701791,296.1149882
1.843002478,42.8785042
7.901952803,546.2553921
4.267325293,174.3333741
9.41926766,763.5538133
6.833706281,413.9715389
7.276358282,467.4348134
1.013533819,19.61483124
8.223291768,588.1484771
4.540216182,194.366542
8.078699043,568.937946
5.986259981,324.4226625
4.233460673,171.8546814
4.224397336,170.0437356
3.119481535,100.1358305
3.569117569,126.7519378
2.41567467,65.09380704
7.800299508,532.480696
2.030476453,49.67661274
5.359906406,264.1716385
5.758050185,300.9299721
7.150104561,451.8380756
5.700884467,296.2765403
2.489120894,68.65859961
5.534936881,280.1221662
6.670150072,396.0378971
6.868146384,417.9111305
5.06729452,237.98229
5.915477267,315.7818608
8.017641912,560.6772424
1.543238308,34.59357668
2.535011635,71.99952583
7.18492497,456.6286138
1.861673132,43.69455216
9.916113563,843.2384922
6.600556785,387.6211658
8.015886669,561.7336497
3.681429908,134.1483166
6.009019028,325.5845576
6.267549248,351.7902898
6.551847819,383.1068141
2.299965496,60.05398385
9.623739508,797.0028089
4.178545784,168.4612324
6.54678764,382.9827205
8.893688189,684.8171055
7.063390907,442.1477735
1.130477728,22.6429033
6.44238145,370.7366772
3.675712021,134.1363861
7.700203269,520.4990867
3.153920319,102.1194139
1.058238031,21.24165585
7.315479591,472.6207016
8.707805199,656.8894938
5.990575568,324.180605
4.520812251,193.3212344
8.427573295,617.8962551
9.17984474,726.6486202
5.151982101,244.4305367
9.163077355,723.823441
1.139387854,22.53259328
2.416344966,66.66460699
7.997349554,559.0926114
6.38974361,365.0860509
1.830348544,43.12251998
8.375020447,609.8286679
3.429545316,117.4160083
9.921742287,844.8078082
7.624610866,510.0094228
3.156847905,102.811605
9.875648939,835.9741827
6.408904419,367.9447993
8.114693649,575.1229071
3.9235011,148.7704092
7.192116558,456.3470494
3.131197423,100.3759424
6.09524745,334.7183276
9.82883873,829.252154
5.014484474,232.4410069
1.396583712,29.82110272
1.79417378,41.41641626
7.387445174,480.1941238
7.857672442,539.4154841
3.287509767,109.2840856
3.202563703,105.7821181
4.200301388,168.2341625
5.965331298,322.1941129
5.608227816,286.4368995
9.625436806,795.3194854
3.110978668,99.32541016
9.505309485,776.8840505
5.241600507,253.3345277
8.502016016,627.5832056
5.675322602,293.4402119
2.213199173,57.44695557
1.63672972,37.60572519
2.877282753,86.76459961
8.293410824,598.2635256
4.997053114,232.2182356
5.817703006,306.208799
2.645814297,75.68900191
3.474639633,121.3752436
4.333748463,179.8110343
7.128938926,449.7949089
9.834414721,830.7111561
6.485119241,375.9800443
6.511103151,379.4840737
5.914061041,316.4703266
9.741805556,814.558303
4.061119533,158.9063833
9.899736742,840.0123406
7.462929463,489.6636624
7.711651975,521.5303966
6.963135025,429.6196133
7.474799314,491.0443324
9.855395757,833.8846885
9.679460089,805.6079787
1.892206999,45.84876634
7.750072894,525.2709651
1.780550906,41.32175149
1.404383707,29.76821631
7.693457607,518.80035
7.135586863,450.3503545
5.016674889,234.2885905
4.473740899,190.0157648
7.831366037,536.3517031
4.484764862,190.9684766
7.019796663,436.0903273
5.751048415,300.273882
1.837132739,42.42672347
6.258264245,351.1160032
5.98771386,324.7062857
5.927636502,317.7284124
1.800550981,42.7320798
5.299037707,257.6628489
1.841521559,43.43475638
1.233418133,26.32144293
8.007124037,559.5575391
1.686793866,38.39995068
6.798141041,410.7742046
2.164141853,55.71484729
2.505736051,69.59621583
9.519906066,780.5560836
1.595037389,35.60927568
7.290468224,468.0359282
7.733008176,523.2947526
9.75895604,818.028069
1.972257641,47.21419692
7.82846372,536.9952578
8.317535303,601.1370533
2.458481738,68.30046308
7.717119901,521.3450311
5.671616202,292.0246305
8.840527646,675.7947677
6.812129723,413.0399646
5.433324327,271.2909167
8.011236235,560.2450908
6.638944355,392.5438033
8.441297088,620.1462322
9.208957953,730.9720905
6.505108362,378.7229972
5.703029635,295.0536304
1.268479482,25.23204478
7.526804828,498.7806264
4.193525583,167.7256058
8.342234618,605.4977172
2.13392573,54.73870104
9.085574605,712.2567368
3.007337051,94.66381732
5.571822733,282.8577421
4.037830754,157.2115276
1.68209923,38.86714061
3.764404648,138.214765
3.107032154,99.87810391
8.520182309,630.9734995
5.942254328,318.8439622
4.008868929,156.5363157
4.442485466,186.489069
8.226512792,588.6401836
7.482295808,492.1769261
3.911880535,149.0233144
3.741611003,137.0863888
4.150180915,164.6701818
7.032504262,438.4669514
2.722967108,79.34863954
5.164153845,246.5947488
1.390454757,30.23878207
1.161475519,23.02866557
4.937955332,226.0886481
7.819433978,534.7732557
8.520536282,629.8631734
7.502083396,494.7207589
3.432385572,118.9646926
1.748821346,39.71259717
8.82081149,673.6198696
8.799098455,671.308818
9.298601466,744.9252784
4.212970855,170.2789115
9.699986439,808.7602204
7.673628977,515.6221636
5.020220319,233.5842481
9.087683802,712.5767339
6.600403263,387.8613689
7.731004311,524.6745973
9.91943197,844.4285936
1.356825662,27.92533832
9.563718485,786.8559855
7.526413575,497.8130106
4.520595409,193.7074373
3.531557326,124.6480392
4.419248665,185.5540143
3.94655664,151.463379
9.587849219,790.6067055
2.322203863,62.2518651
8.249680918,593.2289973
9.765761506,818.6839476
5.114968444,240.9491949
2.042402877,49.90820712
6.387474062,364.9536246
7.491465956,493.1842022
7.472451172,490.339422
7.034752438,437.200268
1.700159289,38.09998515
2.12665849,54.63204072
6.249832644,351.1364961
5.872988484,312.1543087
1.333880306,28.40501186
8.145817379,578.7260432
8.070476207,567.7253759
7.217801694,460.786991
5.401902975,267.8399886
8.806082543,670.4812785
9.801601866,824.9550323
4.981718516,230.8438642
1.328445532,27.47613142
1.896839551,45.97807402
2.134071692,54.9272463
4.89304093,222.9994481
2.688076553,79.20170876
