Luck,Hardwork,Smartwork,Success
3.466169153,2.20030644,8.691573858,5.70571406
3.350747745,8.318904553,1.045243039,4.654466011
6.762556874,4.261912244,9.0280103,6.903014088
1.122274729,4.308843901,4.483032971,4.722315445
8.498530565,9.783568866,3.72984489,7.227462297
7.070204302,7.112682277,5.928257041,7.061880452
4.643356678,9.305776683,4.854441263,7.015718961
6.77295855,2.211277444,2.536026251,4.057374221
8.220683834,3.622242085,3.901103944,4.88684292
6.938830866,4.15673957,5.92139159,5.783466479
6.062615002,8.512020207,7.875733071,8.014893303
8.406584861,4.082740694,4.145313297,5.289800921
5.036578437,6.42231305,2.05895115,4.484579145
5.996485761,5.805415349,1.790992901,4.79311473
2.268959455,3.921537915,9.689294024,6.696296958
8.071185764,4.28789151,3.533307882,5.276030253
6.222494858,6.57187474,3.355311303,5.8392482
6.223199431,3.108592666,6.296837038,5.508014258
1.731116865,7.691365126,1.076735354,4.326850929
5.900974382,2.180352443,5.623788958,4.765663388
4.483773982,8.882501478,5.369669588,7.426799445
2.410382006,1.260395795,5.795510216,3.678960602
6.595957495,4.057460653,3.699055616,4.889595754
5.990052961,1.607245739,7.899268712,5.591273362
9.072971722,7.365672144,6.679175329,8.186120723
1.230215251,1.457180439,8.750390294,4.998716151
2.301850196,9.068884537,2.885905896,5.740041448
8.174034009,3.178143407,7.978941281,6.415405179
6.499254563,7.169519374,7.779794802,7.849013372
5.961994828,9.021784551,4.795966309,6.86266468
6.971385484,1.902723852,7.734296086,5.725433695
2.823367275,2.234006276,8.85840507,5.751237636
9.430140568,8.989656013,8.636870877,8.979894148
7.819549393,6.941041217,4.161458122,6.346078815
9.669433275,4.52322993,5.740894698,6.576667123
8.753136342,8.132354695,8.175207194,8.384703651
8.989229506,2.237553699,5.042846591,4.899987383
8.590457892,3.284846422,3.197172902,4.554896455
5.605665606,9.683972824,9.232111205,8.70327549
6.136321456,6.676827438,8.568347888,8.199690475
2.287356033,7.000931568,4.3905893,5.222733682
2.345642341,5.327611352,5.466766643,4.861982096
6.88509362,5.788425706,8.927444001,8.005135966
8.870995862,2.262446369,2.185251316,3.744274008
9.689636711,5.36283249,3.432652797,5.641585254
8.307010838,1.57672308,3.369551116,3.758426647
3.465826974,4.92224185,4.074108663,4.560224527
9.196653869,7.582321973,5.656294192,7.674764638
7.017171575,1.95954839,2.089986459,3.488317871
6.571181456,7.327668899,1.539213984,5.329515484
1.570180705,7.449589965,9.7247586,7.655965526
1.480844068,5.54719778,3.404846025,4.475674212
3.609702414,2.752274547,9.398013875,5.619439416
9.278916055,3.811776869,2.328798262,5.307576351
7.913416619,7.926262502,3.895140981,6.602418091
6.004504259,4.406143285,5.989874397,5.577539321
8.934313447,1.863355799,8.233663713,6.590227672
7.992746371,3.480055514,5.536512053,5.658992379
3.763824083,3.723873801,8.534826505,5.898748342
2.262878924,9.924874078,5.28851452,6.58086521
4.215306552,2.985211404,2.55385385,3.840385852
9.499374311,1.475414734,4.152917809,4.730248723
5.028504639,4.682320534,7.471687984,6.6201387
7.768617864,1.877586561,2.71761225,4.14328255
2.381664612,7.308502541,7.494090815,7.342254355
6.988783022,7.885578619,9.317272396,8.507953367
8.271140049,7.31177132,9.749590462,8.750486862
5.594638847,7.038862605,6.366095815,6.598338051
1.481061977,8.135831312,4.825263551,6.251972699
7.578593895,4.940297638,4.85927437,5.540357147
3.811192875,6.550811427,9.068797156,7.60695322
2.926557015,8.324112996,8.864132805,7.548166593
4.593165724,1.348240397,5.94737184,4.755937801
7.450058369,4.919003305,8.772190841,7.322970767
8.828392509,2.85396236,2.359882906,4.685615212
6.707965059,6.720187584,2.050385939,5.708621608
6.19001325,3.674005076,9.810844326,7.519357267
8.441172479,3.168839226,7.714323294,6.468459343
9.702032899,9.429656581,1.87448679,7.403193645
3.056574756,7.172205759,3.015275094,5.184270027
1.837538448,4.272687615,1.899267406,3.120650524
3.802757107,2.298037808,6.167989014,4.961067913
1.651518351,3.778839651,5.56002451,4.91801657
8.50520137,2.648308084,2.896011545,4.911981894
8.109861187,1.492151602,6.681757129,5.594903892
9.964944923,6.305906138,3.198678105,5.838414834
3.112757093,4.294732051,8.900519132,6.684090432
4.278807678,3.190962209,1.878266427,3.635678376
7.596738316,3.782208099,2.748872385,5.111536819
1.584370324,9.13822035,5.851769651,6.348564974
1.184418386,5.575878312,5.851998434,5.225351028
5.757293145,5.881605595,6.219692803,6.461126464
1.924620432,1.655794748,2.182882154,2.275793329
8.846455124,8.915618028,3.100166515,6.797872773
9.908732433,4.277467323,4.978449154,6.012871669
1.993444034,4.294829198,7.752113821,6.188495858
9.783041796,5.277062174,1.581360024,5.570621118
2.982539385,2.87261381,3.913438368,3.535164348
3.113424198,8.780004439,1.403100506,4.886004681
4.656438351,8.198969212,3.242052523,5.631726885
3.050613606,1.725471938,9.552498692,5.244958286
3.228207586,1.866161366,4.457533775,3.810406825
2.034541502,1.689772811,9.729856098,4.97914153
1.053521599,8.971887118,4.19336824,5.607580064
9.248676442,8.235985201,9.431197087,9.306398022
7.99700531,5.165211779,1.653853167,4.801087316
2.964344864,8.202118346,2.660977249,5.798974208
2.945948602,9.443881474,7.161125904,7.813570086
4.715711927,4.747647557,2.426887474,4.790655757
7.872855809,1.116517969,4.327450441,3.917108063
7.72409691,4.656447713,3.639662417,5.342848289
1.720015546,8.654091199,4.412419882,6.012814241
3.091896982,4.906352083,7.407236582,6.157216248
3.134823103,2.196966829,2.956353323,3.175075536
9.84850033,9.190928346,2.479954043,6.756997753
2.099975993,2.312413599,8.817728592,5.605152599
9.930725925,6.26229124,5.046264318,7.099990733
9.919481387,9.909015692,8.597477624,10.17544699
2.986695339,8.265229683,5.611447856,6.404156598
6.996869264,7.595872427,6.185477987,6.987726796
2.513416968,9.778581036,9.121093447,8.463768873
1.798995806,4.953342068,2.909326331,4.421068239
6.174148552,7.961252424,3.262561131,6.54324565
8.275761148,8.27653685,2.862839116,6.494529989
4.231852708,5.924772395,6.328450504,6.321701138
2.507122429,4.121610751,7.317650506,5.78322075
4.310418654,9.394636539,4.633664842,7.119534737
9.193623641,2.07750854,6.317394804,6.153272817
6.22709984,4.56743488,3.110210994,4.796002426
4.780687385,7.392297546,4.277469991,6.25137067
4.389711379,1.273943371,1.870164112,2.421883596
8.011060367,8.584152657,4.587151707,7.809232916
7.323087778,1.589731955,8.626686327,6.493519391
1.800707681,5.783801928,8.27333082,6.095393505
1.774286356,5.629763262,7.43565978,5.784370927
5.81330544,6.999668066,4.940486065,6.539588785
5.678816679,9.67287597,6.197023445,8.079758015
3.515165554,7.621612392,1.669401912,4.824121738
3.075205821,3.002592921,6.306604136,5.292819388
5.889406812,3.527252473,6.822954578,5.518063466
1.997505376,6.954584233,2.237994004,4.129420696
9.204550209,6.010088738,6.771989961,7.241646561
4.010567958,1.926185128,7.262409572,5.402430681
7.113225388,4.185534989,4.184507795,4.988533282
1.577376584,9.343129606,1.975620279,4.968455406
7.011635829,7.464453095,1.499278713,5.882878064
6.948288687,2.372173459,7.428755332,6.080948296
6.645862222,3.41960978,8.578493876,6.767584201
8.966316197,1.110306864,9.978495648,6.762072018
8.798558965,4.854876975,5.866575778,6.952448544
9.708659227,5.932123852,5.146875736,7.162466049
8.9363487,3.956921228,8.002943336,7.119827229
4.491436349,9.012614242,8.867320051,8.80513459
3.617119881,7.042092629,4.090074836,5.996123484
7.601316221,7.904769982,2.187904347,5.630206227
6.435916836,8.975413139,6.314973623,8.136111688
2.474604681,8.597174311,6.392093349,7.435793159
2.282324029,5.842736937,5.488119662,5.70145784
1.601930397,4.129036499,1.30888579,2.942292183
5.660886569,8.800770542,5.190757967,6.893603843
3.516295564,1.537393405,2.436558692,2.420165842
5.024537144,4.252686505,2.516181832,4.454518757
4.035831468,8.357562548,5.155858512,7.072746137
6.24019006,5.030244382,3.026352752,4.688026903
2.832657987,6.813091927,4.40891835,5.245344285
4.962231378,3.177923037,7.210241371,5.172071531
7.128951311,3.20077995,2.559446348,3.860641796
3.36577249,3.192464227,9.878777046,6.102183842
6.264482017,8.300804649,3.908498385,6.709940407
7.185141573,2.275011413,1.032983087,3.68370204
9.310880264,8.188212624,5.339691067,7.943549172
8.627593657,2.795810779,2.532094294,4.211217327
9.241786368,7.87218598,1.519952278,6.515849426
9.566764387,1.88706018,2.618205971,4.355931794
2.210500188,7.291507272,3.839394307,4.99710965
4.559673757,5.892329042,2.039843787,4.823885113
